what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492702391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492703162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492703729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492805271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492806839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492808234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391492813432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492816082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492836789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391492843678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492844170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492850013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492851055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492851696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492867166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391492868861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391492869840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492870338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492873119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492877477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492893479
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1391492896167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1391492916361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391492917301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492917723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492921525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492922455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492924323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492985605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391492991743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391492992223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493013846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493015145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493016928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493025408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391493030160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493030658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493034361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493035538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493036583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493700785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391493708316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493709132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493715037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493717430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493720091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391493727213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493727721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493734921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493737769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493757887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391493763691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493764483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493770461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391493775200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494308571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494438718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494439305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494441478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494442032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494446136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391494450366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494462447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494464148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494468900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494472503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494475138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494481616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494482696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494485403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494488826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494609191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494615272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494615435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494615517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494616452
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391494616701
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1391494617657
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1391494617658
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1391494617658
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1391494617658
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1391494617658
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1391494617658
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1391494617658
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1391494617658
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1391494617658
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1391494617658
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1391494617658
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1391494617658
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1391494617658
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1391494617658
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1391494617658
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1391494617658
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1391494617658
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1391494617658
