what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499178131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1384499191823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1384499198520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384499202369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384499206344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384499208535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384499209308
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384499210909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499213954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499214896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499215564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499444882
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1384499468589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384499474605
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384499478770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499481801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499482435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499483331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499663952
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1384499670596
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1384499676278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384499678297
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384499679906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499683648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499684117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499685229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499707666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499708320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499952087
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1384499967471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384499970104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499971312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499973021
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384499973542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499976401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499976909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384499977341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500119800
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1384500130991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1384500132523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384500134570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384500138183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500138822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500152419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500160345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500176297
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1384500179747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1384500190297
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1384500191457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384500198138
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1384500199537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500204766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500212781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384500213692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1384500218793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1384500225133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384500231238
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384500232614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500235145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500235683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500235707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500236556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500236994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500303033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500303612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500346578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500378846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500386464
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1384500389339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384500400520
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384500404456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500406985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500407573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384500408290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384501357891
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1384501380655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1384501391747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384501397102
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384501398709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384501401256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384501401843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384501402546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384501946670
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1384501951217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384501953143
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384501954717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384501962392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384501962902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384501963555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502142582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502143683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502210021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502269772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502270896
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1384502274350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384502276122
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384502277753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502280350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502280836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502281210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502565947
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1384502583105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1384502587607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384502590416
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1384502592229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384502593489
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1384502598390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502601328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502601868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502662292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502931701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502933671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502934763
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384502934894
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1384502935161
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1384502935184
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1384502935230
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1384502935247
