what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403320703475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403320715105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403320715951
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1403320758052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403320760049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403320868116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403320896932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403320947051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403320949068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321003615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321010978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403321021829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403321038922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403321040323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403321043769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403321054952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403321057764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403321062659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403321068648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403321069890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403321073811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403321096519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403321115360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403321118753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403321134429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403321136797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403321137149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321137847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321192022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403321211453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321212114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321248323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403321257043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321257809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321271524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321272198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321295072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403321323598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403321326342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403321327772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321328675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321400801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403321588726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403322143256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403322151160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403322168316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403322173786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403322176193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403322183385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403322184158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403322480629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403322485289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403322546118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403322678779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403322681249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403322736556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403322737212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403322812466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403322984742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403322986440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403322989905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403322991948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403322993379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323028412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323037885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403323041440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403323052938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1403323060588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403323065719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403323067395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403323068821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323071055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323182122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403323202369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403323211777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403323213719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403323223300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403323226406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323293004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323294166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323344528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323381604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403323398642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403323400799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403323403535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323405652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323410140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323416969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323418836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403323421064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403323422796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323425860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323426815
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1403323430855
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1403323431020
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1403323431206
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1403323431386
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1403323431635
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1403323431847
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1403323432049
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1403323432420
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1403323432648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403323436395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323436688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403323442707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1403323448495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403323457855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403323466667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403323469570
